"Year","Page","Section","Score","Strength","Stage","SDGs","Tags","Quant","Oversight","Summary","Text"
2020,41,"Corporate Overview Financial Statements Management Reports 76 77",4,"moderate","In progress","SDG 15","initiative","","","The company constructed a Birds Paradise at their Kakinada unit, which was featured in a BBC documentary on biodiversity conservation.","Construction of Birds Paradise at Kakinada unit which has been featured in BBC documentary in the field of Biodiversity conservation."
2020,41,"Corporate Overview Financial Statements Management Reports 76 77",4,"moderate","In progress","SDG 7","initiative","","","The company implemented various projects across their units to improve energy efficiency.","To become energy efficient various projects were executed across units on a continuous basis."
2020,41,"Corporate Overview Financial Statements Management Reports 76 77",4,"moderate","In progress","SDG 7, SDG 13","initiative","","","The Kakinada unit utilizes solar energy for water heating, reducing natural gas consumption.","Kakinada unit makes use of Solar energy as a renewable source of energy. It is having Solar water heating facility for the boiler feed water heating purpose."
2020,41,"Corporate Overview Financial Statements Management Reports 76 77",3,"moderate","Planned","SDG 1, SDG 10","initiative","","","Coromandel aims to improve the well-being of disadvantaged individuals through its CSR initiatives.","Coromandel primarily seeks to impact the lives of the disadvantaged by supporting and engaging in activities that aim to improve their wellbeing."
2020,41,"Corporate Overview Financial Statements Management Reports 76 77",3,"moderate","Planned","SDG 12, SDG 13","policy, aspiration","","","Coromandel states its commitment to minimizing environmental impact and using resources responsibly through its EHSQ policy.","Coromandel continually strives to minimize the environmental impact and operational safety risks of its operation through sustainable practices and responsible use of natural resources through effective implementation of Integrated Environment, Occupational Health & Safety, Quality (EHSQ) Policy."
2020,41,"Corporate Overview Financial Statements Management Reports 76 77",3,"moderate","Mention only","SDG 3, SDG 4, SDG 11","policy, initiative","","","The company states that its CSR activities focus on health, education, and community development.","CSR Activities of Coromandel are focused on Health, Education and Community Development."
2020,41,"Corporate Overview Financial Statements Management Reports 76 77",2,"weak","Mention only","SDG 8, SDG 10, SDG 17","aspiration, policy","","","Coromandel emphasizes inclusive growth and stakeholder engagement.","Coromandel strongly believes in inclusive growth. In line with the philosophy and mission, Coromandel has mapped all its stakeholders that include farmers/customers, employees, shareholders, Government, society, suppliers and business alliances, society."
2020,5,"Corporate Overview Financial Statements Management Reports 4 5 Annual Report 2019-20 Coromandel International Limited Modern R&D lab for new product development Smart Technology Technology is beginning to play a significant role in shaping the",2,"weak","Mention only","SDG 2","aspiration","✓","","India faces significant crop loss due to pests, diseases, and inadequate use of CPC, creating a growth opportunity for the industry.","With around 15-25% crop loss due to pests, diseases and inadequate CPC usage, India offers a strong growth prospect to the CPC industry."
2020,5,"Corporate Overview Financial Statements Management Reports 4 5 Annual Report 2019-20 Coromandel International Limited Modern R&D lab for new product development Smart Technology Technology is beginning to play a significant role in shaping the",2,"weak","Mention only","SDG 3, SDG 12","policy","","","The company mentions a bill aimed at improving the pesticide management sector.","• Pesticide Management Bill 2020 to bring structural improvement to the sector"
2020,41,"Corporate Overview Financial Statements Management Reports 76 77",1,"weak","Mention only","SDG 4, SDG 5","aspiration","","","Coromandel is committed to empowering people, providing education, and enhancing their quality of life.","Coromandel is dedicated to the cause of empowering people, educating them and in improving their quality of life."
2020,5,"Corporate Overview Financial Statements Management Reports 4 5 Annual Report 2019-20 Coromandel International Limited Modern R&D lab for new product development Smart Technology Technology is beginning to play a significant role in shaping the",1,"weak","Mention only","SDG 2, SDG 12, SDG 15","aspiration","","","The organic fertiliser market is growing due to increased awareness of sustainable farming and demand for organic produce.","With growing awareness about sustainable farming and increasing demand for organic produce, the organic fertilisers market is gaining traction worldwide."
2020,5,"Corporate Overview Financial Statements Management Reports 4 5 Annual Report 2019-20 Coromandel International Limited Modern R&D lab for new product development Smart Technology Technology is beginning to play a significant role in shaping the",1,"weak","Mention only","SDG 2","aspiration","","","Awareness of the nutritional benefits of organic fertilisers is increasing adoption.","Rising awareness of the nutritional benefits of plant and animal-based fertilisers have been boosting the adoption of organic fertilisers."
2020,5,"Corporate Overview Financial Statements Management Reports 4 5 Annual Report 2019-20 Coromandel International Limited Modern R&D lab for new product development Smart Technology Technology is beginning to play a significant role in shaping the",1,"weak","Mention only","SDG 12","aspiration","","","The company notes that consumers are increasingly interested in sustainable and environmentally friendly products.","Biologicals like plant extract and microbials, organic products and green triangle products are gaining increased attention among the consumers due to preference for sustainable and environmentally friendly solutions."
2020,5,"Corporate Overview Financial Statements Management Reports 4 5 Annual Report 2019-20 Coromandel International Limited Modern R&D lab for new product development Smart Technology Technology is beginning to play a significant role in shaping the",1,"weak","Mention only","SDG 9","aspiration","","","India is presented as a competitive manufacturing destination for the global CPC industry due to its various strengths.","India, with its rich knowhow of complex chemistry, a fast-evolving agrochemical ecosystem, sound regulatory compliances and deep relationship with global innovators based on ethical IPR protocol and cost-efficient manufacturing, offers a very competitive manufacturing destination to the global CPC industry."
2020,5,"Corporate Overview Financial Statements Management Reports 4 5 Annual Report 2019-20 Coromandel International Limited Modern R&D lab for new product development Smart Technology Technology is beginning to play a significant role in shaping the",1,"weak","Mention only","SDG 3","aspiration","","","The company states its commitment to improving the health and well-being of communities.","At Coromandel, we are committed towards improving health and well-being of communities in and around our areas of operations."
2020,5,"Corporate Overview Financial Statements Management Reports 4 5 Annual Report 2019-20 Coromandel International Limited Modern R&D lab for new product development Smart Technology Technology is beginning to play a significant role in shaping the",1,"weak","Mention only","SDG 2","aspiration","","","The company sees potential for growth in India due to low per capita consumption of agri-chemicals.","• Low per capita consumption of agri-chemicals in India offers significant upside potential"
2020,5,"Corporate Overview Financial Statements Management Reports 4 5 Annual Report 2019-20 Coromandel International Limited Modern R&D lab for new product development Smart Technology Technology is beginning to play a significant role in shaping the",1,"weak","Mention only","SDG 8, SDG 9","aspiration","","","The company highlights India's potential for exporting crop protection products due to low manufacturing costs and high capacity.","• India’s low-cost manufacturing in crop protection and high capacity opens significant export potential."
2020,5,"Corporate Overview Financial Statements Management Reports 4 5 Annual Report 2019-20 Coromandel International Limited Modern R&D lab for new product development Smart Technology Technology is beginning to play a significant role in shaping the",1,"weak","Mention only","SDG 2, SDG 12, SDG 15","aspiration","","","The company mentions the importance of promoting sustainable agricultural practices.","• Improved awareness about soil health and sustainable practices to promote balanced nutrient usage including Bio-pesticides and organic fertiliser usage"
2020,5,"Corporate Overview Financial Statements Management Reports 4 5 Annual Report 2019-20 Coromandel International Limited Modern R&D lab for new product development Smart Technology Technology is beginning to play a significant role in shaping the",1,"weak","Mention only","SDG 2, SDG 9","aspiration","","","The company emphasizes the role of technology in improving agricultural productivity.","• Adoption and acceleration of Agri technologies to improve crop yield and improve product efficiency"
2021,47,"90",8,"strong","Measurable","SDG 7, SDG 13","initiative, measured_outcome","✓","","The company utilizes waste heat from sulfuric acid plants to power fertilizer manufacturing, reducing its carbon footprint by 50%.","Fertilizer manufacturing operations at Vizag and Ennore units use 50 % of its energy from the waste heat recovered from its captive Sulphuric acid plants, further reducing carbon footprint of the organization."
2021,1,"Unknown Section",8,"strong","Measurable","SDG 15","initiative, measured_outcome","✓","","Coromandel, in partnership with EGREE foundation, has created a bird sanctuary recognized by global agencies.","In collaboration with the EGREE foundation, our Kakinada plant surroundings have become the largest breeding site in the East Godavari district for a variety of bird species and has been recognised by global agencies like UNDP and Discovery."
2021,47,"90",8,"strong","Measurable","SDG 7","kpi, measured_outcome","✓","","The company implemented various energy-saving measures, resulting in reduced power consumption and energy savings.","During the year 2020-21, the Company has: • Reduced the specific power consumption by 3.9 kWh/ MT at Ennore Unit • Reduced the specific power consumption by 1.31 kWh/ MT at Kakinada Unit • Reduced the specific power consumption in the GSSP unit from 12 to 11 units through production and power factor improvement • Achieved about 370097 KWH of energy saving achieved by installation of energy efficient motors, cooling tower pumps, E-Glass Proxy FRP Fans, BLDC ceiling fan, steam operated pressure powered pump unit (PPPU) in Malathion & MEE at Ankleshwar Plant • Installed Solar streetlights at Dahej Unit along the periphery of the plant and all the industrial lighting fixtures are converted to energy efficient LED"
2021,1,"Unknown Section",7,"strong","Measurable","SDG 3, SDG 8, SDG 10","measured_outcome","✓","","Coromandel reports directly impacting ~360,000 lives through their initiatives.","During FY 2020-21, we touched upon ~3.6 lakh lives directly through our various initiatives."
2021,47,"90",7,"strong","Measurable","SDG 12, SDG 15","measured_outcome","✓","","Coromandel sold 27,613 MTs of City Compost and 12,846 MTs of PM compost in 2020-21.","In the year 2020-21, the company has sold 27,613 MTs of City Compost which is made after composting city waste. The company has also sold 12,846 MTs of PM compost which is made from sugarcane filter cake which is generated as by-product in sugar mill."
2021,1,"Unknown Section",5,"moderate","In progress","SDG 12","policy, initiative","","","Coromandel states they are among the first fertilizer companies to implement plastic waste management rules.","We are amongst the first few companies in the fertiliser industry to implement Plastic waste Management rules to manage plastic waste responsibly."
2021,47,"90",5,"moderate","In progress","SDG 13","initiative","✓","","The company planted 9020 trees on 11 acres of unused gypsum using bio-remediation technology.","Plantation through TERI using mychorihiza bio- remediation technology has been done on the unused gypsum in an area of 11.0 acres and 9020 trees are planted."
2021,47,"90",5,"moderate","In progress","SDG 7, SDG 12","policy, initiative","","","The company emphasizes sustainable practices in manufacturing, focusing on water, energy, and raw material conservation.","There was a continuous focus at the manufacturing units for improved operational efficiencies and sustainable practices through effective conservation of water, energy and raw material resources."
2021,47,"90",5,"moderate","In progress","SDG 4","initiative","✓","","Coromandel launched a scheme to support girl child education in rural areas.","Coromandel Girl Child Education Scheme The Coromandel Girl Child Education Scheme was launched in 2005 in recognition of the strong support received from the farmers of Andhra Pradesh and to help the girl child in its quest for education in rural areas."
2021,47,"90",5,"moderate","In progress","SDG 8, SDG 16","kpi","✓","","The company tracks progress on human rights protection using various metrics.","Coromandel measures the progress on Human rights protection through metrics like • Training Man-days and employee coverage for awareness on Policies and CGBC • Number of grievances received and addressed • Internal HR and Management audit points and closures • 5S audit score for work environment"
2021,47,"90",5,"moderate","In progress","SDG 12, SDG 13, SDG 15","policy, initiative","","","The company assesses its environmental impact and strives for continuous improvement through sustainable practices.","The environmental impact is accessed from time to time and continuous improvement is observed through sustainable practices and responsible use of natural resources through effective implementation of Integrated Environment, Occupational health & Safety, Quality (EHSQ) Policy."
2021,1,"Unknown Section",5,"moderate","In progress","SDG 9","initiative, target","","","The company is supporting agri-tech startups by providing funding, expertise, and marketing opportunities.","Coromandel is reaching out to the Agri-Tech businesses – the Company is committed to supporting the upcoming new age agri-tech startups in the Country by providing them access to smart funding capital, expertise and knowledge, pilot marketing activities. The Company has activated a corporate VC model to pursue this agenda."
2021,47,"90",4,"moderate","In progress","SDG 9, SDG 12, SDG 13, SDG 15","initiative","","","The company engages in various environmental activities such as developing green belts, improving resource consumption, and implementing water conservation measures.","The company is also actively involved in sustainable development through various environmental activities at a large scale like development of green belt, continual improvement in consumption of Raw materials along with efficient energy saving practices and water conservation by recycling the wastewater, rainwater harvesting etc."
2021,1,"Unknown Section",4,"moderate","In progress","SDG 13, SDG 15","initiative","","","Coromandel collaborates with TERI and uses bioremediation to transform wasteland into green spaces.","We are working with organisations like TERI and have adopted Bio-Remediation technology for transforming waste land into green belt."
2021,47,"90",4,"moderate","In progress","SDG 9","initiative","","","The company implemented additional elements under its Process Safety Management Systems (PSMS) to enhance plant safety.","The company implemented the additional five elements which are enablers under advanced risk-based Process Safety Management Systems (PSMS), expanding management’s commitment and involvement towards Plant safety."
2021,47,"90",4,"moderate","In progress","SDG 3","initiative","","","The company conducted virtual health awareness sessions with medical experts.","Employee health and wellbeing awareness sessions were conducted virtually by external medical experts. Dr. Sashikala and Padmashree Dr. V Mohan were amongst the few speakers for these sessions."
2021,47,"90",4,"moderate","In progress","SDG 7","aspiration, target","","","The company's Vizag unit received recognition for its energy efficiency practices.","Coromandel Vizag Unit was awarded CII National Excellence Energy Efficient Unit award, 4th time. Since 2013-14 the company has been consecutively winning the Energy efficient unit award from CII."
2021,1,"Unknown Section",4,"moderate","In progress","SDG 3","initiative","","","The company supported the development of a Covid care ward and established a hospital to address community health needs.","We supported development of Covid care ward and established Coromandel Hospital at Kakinada to address the health needs of the community."
2021,1,"Unknown Section",4,"moderate","In progress","SDG 2, SDG 12","initiative","","","The company promotes safe and integrated nutrient and pest management practices in agriculture.","We are promoting safe, integrated nutrient and pest management practices."
2021,1,"Unknown Section",4,"moderate","In progress","SDG 2, SDG 12, SDG 15","initiative","","","The company, as a leading organic and bio-pesticide player, works with organic farmers to promote healthy food.","Being a leading Organic and Bio Pesticide player in the Country, our agronomists are working with organic farmers to promote Organic and healthy food."
2021,12,"20",4,"moderate","In progress","SDG 15","initiative","","","The company's Kakinada plant has become a breeding site for various bird species in collaboration with the EGREE foundation.","In collaboration with the EGREE foundation, the Coromandel’s Kakinada plant surroundings have become the largest breeding site in the East Godavari district for a variety of bird species, including the Grey Heron and the Painted Storks."
2021,47,"90",4,"moderate","In progress","SDG 3","initiative","","","Coromandel provides basic medical services in communities near its manufacturing plants.","Improving health conditions for communities through the provision of basic medical services in Ennore, Vizag, Kakinada and Sarigam The Coromandel Medical Centres in the vicinity of manufacturing"
2021,12,"20",4,"moderate","In progress","SDG 1, SDG 5, SDG 10","initiative","","","The company prioritized inclusion in its CSR programs during the COVID-19 pandemic, focusing on vulnerable groups.","With the Covid-19 pandemic heightening the vulnerability of the marginalized segments such as children, women, the elderly and those with disabilities, inclusion became the central theme of its CSR programmes and initiatives during the year."
2021,12,"20",4,"moderate","In progress","SDG 2","initiative","","","The company provided food and hygiene supplies to those in need during the pandemic.","The Company provided timely help in form of ration and hygiene kits."
2021,12,"20",4,"moderate","In progress","SDG 16","initiative","","","The company donated money to government relief funds to support pandemic response.","The Company made monetary contributions to the PM CARES Fund and CM Relief fund."
2021,12,"20",4,"moderate","In progress","SDG 3","initiative","","","The company established COVID-19 care centers and facilities in hospitals to support pandemic response.","To ramp up pandemic-related relief supplies, Coromandel established Covid Care Centres and built facilities in government hospitals including a COVID ward in Kakinada."
2021,12,"20",4,"moderate","Mention only","SDG 2","measured_outcome","✓","","India has the largest livestock population globally, representing 31% of the world's total in 2019.","India has the largest livestock population of around 535.8 million, which translated to around 31% of the world’s livestock population in 2019."
2021,12,"20",4,"moderate","Mention only","SDG 2","measured_outcome","✓","","India's total food grain production has increased by 54% between 2000-01 and 2020-21.","From 197 million tonnes in 2000-01 to an estimated 303 million tonnes in 2020-21, total food grain production in India has grown by an impressive 54%."
2021,12,"20",4,"moderate","Planned","SDG 2","policy, initiative","","","India is encouraged to adopt smart farming, technology, and data-driven practices to enhance agricultural productivity and farmer income.","India needs to adopt smart farming, technology solutions and data driven agronomic practices to drive agricultural gains and improve farm prosperity."
2021,47,"90",4,"moderate","In progress","SDG 3, SDG 8, SDG 12","policy","","","The company prioritizes employee health, safety, and environment and has adopted a zero-harm policy.","Coromandel gives highest priority to employee’s health, Safety and Environment and has adopted the Zero harm policy."
2021,47,"90",4,"moderate","In progress","SDG 3, SDG 8, SDG 12","kpi","","","The company tracks its safety, health, and environment (SHE) performance using established indicators.","The Company has put in robust processes and established safety performance indicators to track its SHE performance."
2021,12,"20",4,"moderate","In progress","SDG 4","aspiration, initiative","","","The company states that their educational initiatives align with national goals of ensuring basic education for all.","All our educational initiatives are aligned to the national goals and complement the goal of the Country in ensuring ‘basic education for all’."
2021,12,"20",4,"moderate","In progress","SDG 1, SDG 10, SDG 16","aspiration, initiative","","","The company mentions focusing on all-inclusive development and growth in the country through various programs.","Our various multi- stakeholder engagement programmes and initiatives focus towards achieving all-inclusive development and growth in the Country."
2021,12,"20",4,"moderate","In progress","SDG 3","aspiration, policy","","","The company expresses commitment to improving the health and well-being of local communities.","We are committed towards improving health, physical and mental well-being of local communities in and around our areas of operations."
2021,12,"20",4,"moderate","In progress","SDG 3","initiative","","","The company states that their healthcare initiatives encompass both medical care and preventive care.","Our various healthcare initiatives are focused on both medical care and preventive care."
2021,12,"20",4,"moderate","In progress","SDG 5, SDG 8","initiative","","","The company provides training to women and youth to improve their economic conditions and job prospects.","We have been providing training to women and youth to improve their economic conditions and open new job horizons for them, respectively."
2021,47,"90",4,"moderate","In progress","SDG 12","initiative","","","Coromandel promotes circular economy practices by recycling nutrients from waste streams.","Coromandel is promoting the concept of circular economy in nutrients through the recycling of nutrients of waste streams such as municipal waste, crop residues, effluent water."
2021,47,"90",4,"moderate","In progress","SDG 2, SDG 15","initiative","","","Coromandel promotes organic fertilizers to improve soil health and productivity.","Coromandel has been a leader in promoting Organic fertilisers (City & Press mud Compost, Organic Potash - Potash derived from molasses, Organic Phosphorus- Phosphorus Rich Organic Manure, De-oiled cakes mixtures) to farmers for sustaining the soil health and improving productivity, by sustaining nutrient availability to crops and enriching organic carbon content of soil."
2021,47,"90",4,"moderate","In progress","SDG 12, SDG 15","initiative","","","Coromandel develops fertilizers from waste streams, such as municipal waste and sugar distillery effluent.","Coromandel has developed enriched municipal city compost. Coromandel also has developed a new potash fertiliser which is derived from the effluent from sugar distillery."
2021,47,"90",4,"moderate","In progress","SDG 13, SDG 15","initiative","","","Coromandel collaborates with Punjab Agriculture University to develop biochar technology for soil amendment, reducing pollution and sequestering carbon.","Coromandel is working with Punjab Agriculture University to develop the technology for conversion of paddy straw into biochar which can be used for soil amendment. This will reduce environmental pollution and sequester carbon in soil while at the same time help in improving crop productivity."
2021,1,"Unknown Section",4,"moderate","Planned","SDG 2, SDG 12, SDG 15","aspiration, policy, initiative","","","The company is committed to providing sustainable solutions to farmers by offering organic and biological inputs and championing their adoption.","Coromandel is committing itself to provide sustainable solutions to the farmers – while already being an industry leader in organic agri- inputs, Coromandel will continue to offer the best organic and biological solutions. As a responsible Company committed to enhancing sustainable farming, Coromandel will continue to champion adoption of organic inputs."
2021,47,"90",4,"moderate","In progress","SDG 2, SDG 15","initiative","","","The company manufactures fertilizers with technology that maximizes nutrient availability and minimizes environmental impact.","Sulphur enhanced fertiliser grades, 24-24-0-8S & 20-20- 0-13S are manufactured with unique technology such that it maximizes the availability of Sulphur to the crop and minimizing leaching losses of Sulphur"
2021,47,"90",4,"moderate","In progress","SDG 3, SDG 12, SDG 15","initiative","","","The company acquired a unit to produce and distribute sustainable and environmentally friendly bio-pesticides.","Bio-Pesticides: Coromandel acquired Bio-Pesticides unit towards producing and delivering sustainable and environment friendly products"
2021,47,"90",4,"moderate","In progress","SDG 12, SDG 17","governance","","✓","The company's Business Responsibility (BR) performance is assessed regularly by the BR Head based on its environmental and operational impact.","The BR Performance revolves around a number of policies which is assessed by the BR Head monthly, quarterly and annually based upon its importance and impact on the environment and Company’s operations & activities."
2021,47,"90",4,"moderate","In progress","SDG 12, SDG 17","policy","","","The company publishes an annual Business Responsibility Report as part of its Annual Report.","This is the fifth Business Responsibility Report of the Company for the Financial Year 2020-21 which forms part of the Company’s Annual Report for FY 2020-21."
2021,1,"Unknown Section",4,"moderate","Planned","SDG 9","aspiration, initiative, target","","","The company plans to invest in digital and technology upgrades over the next two years, including data analytics, customer interactions, manufacturing, and supply chain improvements.","Coromandel is investing in digital and technology upgradation – the Company has initiated a technology and digital transformation journey along with a refreshed approach to data analytics. Over the next 2 years, significant changes are expected in the way the Company extracts, processes, consumes data, an increased adoption of digital tools for customer/ dealer interactions, manufacturing sophistications and supply chain interventions in line with best-in class in the industry."
2021,12,"20",3,"moderate","Mention only","SDG 2","target","✓","","The OECD-FAO Agricultural Outlook projects yield improvements will account for nearly 85% of agricultural production growth in the next decade.","According to OECD-FAO Agricultural Outlook 2020-2029, yield improvements through enhanced agri-inputs, production technology and cultivation practices are pegged to account for nearly 85% of production growth over the next decade."
2021,12,"20",3,"moderate","Planned","SDG 6","aspiration, initiative","","","The company aims to promote water-efficient irrigation methods and water-soluble fertilizers.","towards drip and micro- irrigation adoption to improve the resource use efficiency and promote water-soluble fertiliser usage"
2021,12,"20",3,"moderate","Planned","SDG 2, SDG 15","aspiration, initiative","","","The company aims to raise awareness about soil health and promote sustainable agricultural practices.","Improved awareness about soil health and sustainable practices to promote balanced nutrient usage including Bio- pesticides and organic fertiliser usage"
2021,12,"20",3,"moderate","Planned","SDG 2","aspiration, initiative","","","The company encourages the adoption of agricultural technologies to enhance crop yields and efficiency.","Adoption and acceleration of agri technologies to improve crop yield and improve product efficiency"
2021,12,"20",3,"moderate","Mention only","SDG 1, SDG 8","policy, initiative","","","The company mentions an initiative to invest in agricultural infrastructure and support farmer organizations.","Agri infrastructure fund to enhance farm gate infrastructure for farmers, investing in FPOs, primary agriculture cooperatives (PACS), and agriculture entrepreneurs"
2021,1,"Unknown Section",3,"moderate","Planned","SDG 2, SDG 9","aspiration, initiative","","","The company highlights the potential of technology and digital finance to improve agricultural practices and input consumption.","• Deep penetration of technology, digital and finance – access to high speed internet, emerging rural and agri-focused credit products, availability of affordable digital tools for soil health measurement, pest advisory, weather information, demand forecasting, livestock management, etc., are bound to change the quantity, quality and mode of agri and allied inputs consumption by farmers."
2021,1,"Unknown Section",3,"moderate","Planned","SDG 2","aspiration, initiative","","","The company mentions investing in biotechnology and advanced breeding to develop crops, animals, and microbes with improved traits.","• Newer areas of innovation - Biotech and advanced breeding lead to new traits for crops, animals and microbes e.g., higher yield, stress tolerance and disease resistance"
2021,1,"Unknown Section",3,"moderate","Planned","SDG 2, SDG 9","aspiration, initiative","","","The company is investing in research and development to create new and innovative agricultural products and solutions.","Coromandel is investing significantly in R&D – the Company is strengthening in-house R&D with an endeavour to introduce differentiated products and novel agri-input solutions."
2021,47,"90",2,"weak","Mention only","SDG 8, SDG 10","policy","","","Coromandel International Limited has a policy on Corporate Social Responsibility to guide initiatives that contribute to inclusive growth and equitable development.","Coromandel International Limited has put in place ‘Policy on Corporate Social Responsibility’ to guide its efforts on CSR initiatives that contribute to inclusive growth and equitable development."
2021,47,"90",2,"weak","Mention only","SDG 1, SDG 10","initiative","","","Coromandel aims to improve the wellbeing of disadvantaged people through its activities.","Coromandel primarily seeks to impact the lives of the disadvantaged by supporting and engaging in activities that aim to improve their wellbeing."
2021,47,"90",2,"weak","Mention only","SDG 3, SDG 4","initiative","","","Education, healthcare, and community development are prioritized initiatives for Coromandel.","education, healthcare and community development initiatives shall remain the priority and major domain areas to make a meaningful impact on their lives in respective geographical locations."
2021,47,"90",2,"weak","Mention only","SDG 8","policy","","","The company specifically focused on prohibiting child labor.","A special focus was given on prohibition of engagement of child labour."
2021,1,"Unknown Section",1,"weak","Mention only","SDG 2, SDG 12, SDG 15","aspiration","","","Coromandel claims to be the largest producer of neem-based biopesticides globally and the largest marketer of organic fertilizers in India.","We are the largest neem- based bio pesticide manufacturer globally and are the largest organic fertiliser marketer in India."
2021,12,"20",1,"weak","Mention only","SDG 2","aspiration","","","The Indian agricultural sector has shown steady performance with achievements in food surplus, irrigation, yield improvement, and advancements in agricultural practices.","The steady performance of the Indian agricultural sector signifies many things. The most prominent ones include food surplus, irrigation gains, yield improvement, and advancements made across agronomy practices, quality of agri-inputs, and technological interventions."
2022,24,"INTEGRATED REPORT FY 2021-22",8,"strong","In progress","SDG 13, SDG 15","initiative, measured_outcome","✓","✓","The company participated in a tree planting initiative, planting 225,000 saplings.","As an active and passionate participant of Green Visakha, we undertook the plantation of 2,25,000 saplings in various locations within and around Visakhapatnam, including the Andhra University Campus, Atchutapuram SEZ, ITBP Site, and VIMS Hospital."
2022,1,"INTEGRATED REPORT FY 2021-22",7,"strong","In progress","SDG 3, SDG 4, SDG 10","initiative, measured_outcome","✓","","The company states its social commitments impact the UN Sustainable Development Goals.","The Company’s social commitments span in the areas of education, health and community development. During FY21-22, it touched upon ~7.2 lakh lives through its various initiatives, positively impacting the UN Sustainable Development Goals."
2022,1,"INTEGRATED REPORT FY 2021-22",7,"strong","Measurable","SDG 13, SDG 15","initiative, target","✓","","The company completed a tree planting initiative.","The Company has completed the plantation of around 2,25,000 saplings under the flagship program of the Government of Andhra Pradesh known as “Green Visakha”."
2022,24,"INTEGRATED REPORT FY 2021-22",7,"strong","In progress","SDG 13, SDG 15","initiative, measured_outcome","✓","","The company reports initiatives to sustain biodiversity and achieving 44% green cover on its land.","We have taken several initiatives to sustain biodiversity around our factories. This has resulted in Coromandel having 44% of its total area under green cover."
2022,23,"Focus Interventions",7,"strong","Measurable","SDG 8","measured_outcome","✓","","The company reports a track record of zero serious injuries and fatalities.","• Maintain track record of Zero Serious Injury and Fatality"
2022,24,"INTEGRATED REPORT FY 2021-22",6,"strong","In progress","SDG 7, SDG 13","initiative, target","✓","","Coromandel utilizes a Waste Heat Recovery System to generate power, reducing reliance on fossil fuels.","It has focused on power generation at its Vizag, Ennore & Ennore locations using Waste Heat Recovery System (WHRS) by utilizing the excess steam generated form the Sulphuric plant and generating the around 3.0 MW power at Ranipet unit, 5.0 MW at Vizag unit and 4.0 MW power at Ennore Unit."
2022,23,"Focus Interventions",6,"strong","In progress","SDG 8","initiative, kpi","✓","","The company has implemented processes and indicators to monitor and minimize workplace injuries.","• Instituted robust processes and safety performance indicators to monitor operations and minimise LTIFR(Lost Time Injury Frequency Rate) and TRIFR(Total Recordable Injury Frequency Rate)"
2022,24,"INTEGRATED REPORT FY 2021-22",5,"moderate","In progress","SDG 17","policy, initiative","","","The company engages with stakeholders through various channels to understand their concerns and ensure a sustainable future.","Our sustained stakeholder engagement is driven through formal and informal channels, statutory reports, events and other platforms for internal communications."
2022,24,"INTEGRATED REPORT FY 2021-22",5,"moderate","In progress","SDG 17","policy, initiative","","","The company actively seeks stakeholder feedback to address problems and ensure a sustainable future.","We engage with and seek feedback from our stakeholders regularly through various channels. These interactions allow us to better understand and address their problems, as well as get insight into the risks and growth imperatives that must be addressed in order to ensure a sustainable future."
2022,24,"INTEGRATED REPORT FY 2021-22",5,"moderate","In progress","SDG 17","policy, initiative","","","The company uses various channels to engage with stakeholders, including formal and informal communication.","Our sustained stakeholder engagement is driven through formal and informal channels, statutory reports, events and other platforms for internal communications."
2022,24,"INTEGRATED REPORT FY 2021-22",5,"moderate","In progress","SDG 9, SDG 13","initiative, policy","","","Coromandel has implemented continuous emission monitoring systems and air quality monitoring systems at its manufacturing plants.","Coromandel is highly focused on clean technology. At Coromandel, all major Manufacturing Plants have installed continuous Emission Monitoring Systems (CEMS) in all process stacks and online (CAAQMS) Continuous Ambient Air Quality monitoring system through which real time data is uploaded to respective Pollution Control Board Websites which are open to public viewing."
2022,24,"INTEGRATED REPORT FY 2021-22",5,"moderate","In progress","SDG 7, SDG 6, SDG 12","initiative, target","","","The company is implementing measures to improve energy efficiency, utilize renewable energy, conserve water, and reduce waste generation.","We are improving the Operational Eco-Efficiency of our manufactured capital through energy- saving initiatives, use of renewable energy sources, effective water usage and reduction in waste generation."
2022,1,"INTEGRATED REPORT FY 2021-22",5,"moderate","In progress","SDG 13, SDG 15","initiative, policy","","","The company uses specific technologies for land restoration.","The Company has adopted TERI’s Mycorrhiza technology for land bioremediation and is following “Miyawaki Plantation” Methodology."
2022,24,"INTEGRATED REPORT FY 2021-22",5,"moderate","In progress","SDG 2, SDG 15","policy, initiative","","","The company highlights the issue of soil degradation and its initiative to produce organic fertilizers.","Nearly 70 per cent of India’s arable soil is organic carbon deficient. Coromandel forayed into the organic fertiliser segment in 2006, intending to balance the nutritional value of soil."
2022,23,"Focus Interventions",5,"moderate","In progress","SDG 12","initiative, policy","","","The company assesses its supply chain partners for sustainability and promotes responsible practices through a dedicated policy.","We periodically administer structured assessments to our key supply chain partners to identify opportunities to promote sustainable sourcing and encourage the adoption of responsible practices across our value chain • Develop a Sustainable Supply Chain & Procurement Policy • Assess suppliers under ESG criteria"
2022,23,"Focus Interventions",5,"moderate","In progress","SDG 5","policy, initiative","","","The company promotes gender diversity through policies and strategies.","• Promote gender diversity through enabling policies and strategies"
